Date,Initial Search PSMs,Initial Search Peptides,Post-calibration PSMs,Post-calibration Peptides,Post-GPTMD PSMs,Post-GPTMD Peptides,Initial Search Time,Calibration Time,Post-calibration Search Time,GPTMD Time,Post-GPTMD Search Time,Interlink CSMs,Intralink CSMs,Loop CSMs,Deadend CSMs,Crosslink Single PSMs,Crosslink Single Peptides,XL Search Time,Glyco Search PSMs,Glyco Search Peptides,Glyco Search Time,Semispecific PSMs,Semispecific Peptides,Semispecific Search Time,Nonspecific PSMs,Nonspecific Peptides,Nonspecific Search Time,Modern Search PSMs,Modern Search Peptides,Modern Search Time,TopDown Initial PrSMs,TopDown Initial Proteoforms,TopDown Post-calibration PrSMs,TopDown Post-calibration Proteoforms,TopDown Post-averaging PrSMs,TopDown Post-averaging Proteoforms,TopDown Post-GPTMD PrSMs,TopDown Post-GPTMD Proteoforms,TopDown Initial Search Time,TopDown Calibration Time,TopDown Post-calibration Search Time,TopDown Averaging Time,TopDown Post-averaging Search Time,TopDown GPTMD Time,TopDown Post-GPTMD Search Time,InitialSearchProteinGroups
12/08/2019 01:06:58,31238,11410,31263,11801,35179,13104,331.032666,525.1542463,292.53725909999997,918.61852279999994,324.6266397,16,225,114,420,8400,0,43.362445,0,0,0,35803,12997,1088.0204322,5362,4211,2518.8439455,31237,11409,551.778879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3635
12/15/2019 01:07:15,31238,11410,31262,11815,35184,13110,330.5844133,519.32955429999993,292.288547,953.7626765,325.76764449999996,16,225,114,420,8400,0,42.8064162,0,0,0,35803,12997,1068.4216973999999,5362,4211,2466.0006267,31237,11409,547.01642529999992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3635
12/22/2019 01:05:56,31238,11410,31263,11803,35182,13109,322.92807769999996,503.4706893,287.93439159999997,903.745185,320.5355772,18,230,107,411,8393,0,51.397459299999994,0,0,0,35805,12998,1104.2393672,5363,4211,2516.2618054,31238,11411,526.0269475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3623
12/29/2019 01:06:24,31238,11410,31265,11808,35181,13093,320.07538869999996,508.6082034,291.72394779999996,914.70047719999991,323.93412459999996,18,230,107,411,8393,0,52.576837499999996,0,0,0,35805,12998,1089.5398034,5363,4211,2521.4777348,31238,11411,527.19976539999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3623
01/05/2020 01:06:15,31238,11410,31263,11803,35182,13109,319.4544899,514.3964475,287.7098656,901.3639906,320.7992279,18,230,107,411,8393,0,52.292300499999996,0,0,0,35805,12998,1120.361627,5363,4211,2532.675581,31238,11411,519.2642694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3623
01/12/2020 00:57:45,31238,11410,31265,11808,35179,13087,236.06686359999998,342.5776677,208.1524187,825.878375,221.84148499999998,18,230,107,411,8393,0,50.1823692,0,0,0,35737,12970,6566.2917453,5309,4162,2706.7516443,31238,11411,518.50767569999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3623
01/26/2020 00:50:16,31253,11438,31272,11844,35191,13143,175.7137702,246.9710514,150.40035989999998,673.628309,161.1898575,18,230,107,411,8393,0,37.8364689,0,0,0,0,0,0,0,0,0,31246,11437,891.6039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639
02/02/2020 00:50:03,31252,11439,31277,11845,35188,13146,172.488786,241.14207389999999,147.7407596,665.2100565,157.85834169999998,18,230,107,411,8393,0,38.974033,0,0,0,0,0,0,0,0,0,31251,11439,891.1005129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639
02/09/2020 00:49:30,31252,11439,31277,11845,35189,13146,170.9618288,236.4761222,146.6785399,658.03253869999992,154.6971228,18,230,107,411,8393,0,37.3352821,0,0,0,0,0,0,0,0,0,31253,11438,876.73885939999991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639
02/16/2020 00:49:43,31250,11438,31272,11842,35188,13144,172.5898722,237.0372731,146.4324322,668.7080014,154.4626577,18,230,107,411,8393,0,37.251632099999995,0,0,0,0,0,0,0,0,0,31250,11439,888.45304249999992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3638
